Projektname,Stadt,Betreiber,beteiligte Akteure,Projekttyp,Gebäudenutzung,Fertigstellung,Anzahl der Wohneinheiten,Anzahl der Gebäude,Wärmequelle,min. Vorlauftemperatur im Winter in °C,max .Vorlauftemperatur im Winter in °C,min. Vorlauftemperatur im Sommer in °C,max. Vorlauftemperatur im Sommer in °C,Vorlauftemperatur ganzjährig in °C,Fläche der Erdwärmekollektoren in m^2,Anzahl der Sonden,Installationstiefe,Spitzenförderstrom [m^3/h],Länge des Wärmenetzes in km,Leitungart,Spezifikationen der Wärmequelle,Gebäudeeffizienz Standards,Wärmebedarf,Heizleistung [kW],Kühlleistung [kW],Jährliche Wärmemenge [MWh/a],Jährliche Kältemenge [MWh/a],Brauchwassertemperatur in °C,Heizwassertemperatur in °C,DT in °C,Primärenergiefaktor,zentrale oder dezentrale Wärmepumpen,Wärmepumpentechnologie,Einbindung von EE,Wärmegestehungskosten,Arbeitspreis [ct/kWh],Anschlusszwang,Abrechnungsgrenze für gelieferte Wärme,Internet-Link,Longitude,Latitude
Weiermatten,Schallstadt,Energiedienst AG,-,Neubaugebiet,Wohnen,2021,-,50,Abwasserwärmetauscher,6.0,12.0,0.0,25.0,"W: 6 - 12, S: <25",-,-,-,22l /s,2.2,Kunststoff / ungedämmt,500k Pufferspeicher,-,-,700.0,optional,-,optional,65.0,30.0,-,-,dezentral,-,-,-,-,Nein,Verdampfer der Wärmepumpe (netzseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/schallstadt-weiermatten,7.7496747,47.9568123
Max-Ernst-Straße,Schifferstadt,Stadwerke Schifferstadt,-,Neubaugebiet,Wohnen,2016,-,41,Erdwärmesonden,6.0,6.0,15.0,15.0,"W: 6, S: 15",-,-,-,-,0.53,Kunststoff / ungedämmt,-,-,-,160.0,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Ja,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/schifferstadt-max-ernst-strasse,8.3705675,49.3858742
Auf der Freiheit,Schleswig,Stadtwerke SH GmbH & Co. KG,Steinhäuser,Neubaugebiet,Wohnen,2022,1400,-,Erdwärmekollektoren,-,-,-,-,-,8000.0,-,-,-,-,-,Horizontaleinbau,-,-,-,-,-,-,-,-,-,-,-,-,Dach PV,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/auf-der-freiheit-schleswig,9.5653284,54.51851
Berender Redder,Schleswig,Schleswiger Stadtwerke GmbH,Technik Nord Gmbh,Neubaugebiet ,Wohnen,2015,123,-,"Erdwärmesonden, Fluss-/ Seewasser",-,-,-,-,-,-,-,-,-,-,Kunststoff / ungedämmt,-,-,-,-,optional,-,optional,-,-,-,-,dezentral,Waterkotte,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.energie-experten.org/projekte/reetdorf-geltinger-birk-nachhaltiger-urlaub-mit-erdwaerme,9.5653284,54.51851
Wickelkoppeln,Schleswig,Stadtwerke SH GmbH & Co. KG,"Steinhäuser,Energie PLUS Concept gmbH, Friedrich-Alexander-Universität Erlangen-Nürnberg, TU Dresden",Neubaugebiet,Wohnen,2021,-,-,"Erdwärmekollektoren, Erdeisspeicher",-,-,-,-,-,900.0,-,-,-,-,-,"Horizontaleinbau, zwei Erdeisspeicher mit 4 Lagen Boden-Klima-Tauscher, einer der Eisspeicher unter einem Regenrückhaltebecken",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://ht-steinhaeuser.de/kalte-nahwaerme/projekte/wichelkoppeln-schleswig,9.5653284,54.51851
Am Bergle,Schlier-Unterankenreute,EnBW/Technische Werke Schussental,-,Neubaugebiet,Wohnen,2022,-,35,Erdwärmesonden,-9.0,-3.0,0.0,12.0,0 - 12 / (-3) - 9 ,-,-,80.0,-,0.66,Kunststoff / ungedämmt,-,-,-,270.0,optional,-,optional,-,-,-,0.4,dezentral,-,Dach-PV,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/schlier-unterankenreute-am-bergle,9.6975098,47.8000846
Kellerbergbreite,Schrobenhausen,Bürger-Energie-Gen. ND-SOB-AIC-EI,-,Neubaugebiet,Wohnen,2023,-,65,Erdwärmesonden,15.5,15.5,15.5,15.5,15.5,-,-,-,-,2.5,Kunststoff / ungedämmt,-,EH 40,-,520.0,optional,-,optional,-,-,-,"0,2 - 0,5",dezentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/schrobenhausen-kellerbergbreite,11.2654488,48.5613407
Soester Norden,Soest,Stadtwerke Soest,"Steinhäuser, GeoAlto",Neubaugebiet,Wohnen,2022,-,417,Erdwärmekollektoren,10.0,10.0,10.0,10.0,10,23000.0,-,-,-,7.3,Kunststoff / ungedämmt,Horizontaleinbau,-,9800 kWh pro Haus,2820.0,optional,-,optional,55.0,35.0,8.0,0.44,dezentral,-,-,-,5.72,Ja,Kondensator der Wärmepumpe (gebäudeseitig),"https://knw.stadtwerke-soest.de/ , https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/soest-soester-norden",8.1061259,51.5725501
Schulstraße,Stürzelberg,evd energieversorgung dormagen gmbh,-,-,-,-,-,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://www.evd-dormagen.de/KNW,6.8163779,51.138036
Bergheim,Troisdorf,Stadtwerke Troisdorf,-,Neubaugebiet,Wohnen,2019,-,38,Erdwärmesonden,-,-,-,-,-,-,-,-,-,0.45,Kunststoff / ungedämmt,-,-,-,950.0,-,-,-,-,-,-,-,dezentral,-,-,-,-,Ja,Verdampfer der Wärmepumpe (netzseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/troisdorf-bergheim,7.1593271,50.8153071
Eschmar West,Troisdorf,Stadtwerke Troisdorf,-,Neubaugebiet,Wohnen,2019,-,57,Erdwärmesonden,10.0,12.0,10.0,12.0,10 bis 12,-,-,-,-,0.5,Kunststoff / ungedämmt,-,-,-,1000.0,-,-,-,-,-,-,-,dezentral,-,-,-,-,Ja,Verdampfer der Wärmepumpe (netzseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/troisdorf-schmar-west,7.1593271,50.8153071
Obere Kreuzäcker,Tübingen,Stadtwerke Tübingen,"GeoAlto, tewag Gmbh",Neubaugebiet,Wohnen,2023,-,36,Oberflächennahes Grundwasser,10.0,12.0,10.0,12.0,10 bis 12,-,-,23.0,50,-,-,Brunnenanlage und Nutzung der Wärmenetzes als Kollektor,-,-,300.0,-,648.0,-,-,-,-,-,dezentral,-,-,-,-,-,-,https://www.geoalto.de/de/case-studies/buehl,9.0535531,48.5236164
In de Brinke,Warendorf,WEV Warendorfer Energieversorgung,"FH Münster, INEG ",Neubaugebiet,Wohnen,2021,-,197,"Erdwärmesonden, Erdwärmekollektoren",5.0,20.0,5.0,20.0,5 - 20,-,116.0,150.0,-,5.5,Kunststoff / ungedämmt,-,-,-,2400.0,optional,2600.0,optional,-,-,-,0.47,-,-,-,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),Eigene Recherche in Kooperation mit der WEV Warendorf Energieversorgung GmbH,7.9912335,51.9532449
Lehmkuhle,Werther (Thüringen),Energiegenossenschaft Helmetal eG,TWS Thüringer Wärme Service GmbH ,Neubaugebiet,Wohnen,2022,-,33,Erdwärmekollektoren,8.0,8.0,8.0,8.0,8,8000.0,-,1.4,-,-,Kunststoff / ungedämmt,-,-,-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,Ja,-,https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/werther-lehmkuhle,10.7418281,51.4739645
Alber Villen,Wiesbaden-Biebrich,ESWE Versorgungs AG,-,Neubaugebiet ,Wohnen,2023(?),30,-,Abwasserwärmetauscher,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,dezentral,-,-,-,-,-,-,https://www.albert-villen.de/kalte-nahwaerme-in-den-albert-villen-was-ist-das-eigentlich/,8.2363412,50.0488229
Am Parkfeld,Wiesbaden-Biebrich,ESWE Versorgungs AG,LWE,Neubaugebiet,Wohnen,2022,-,26,Abwasserwärmetauscher,14.0,14.0,14.0,14.0,14,-,-,-,-,2.0,Kunststoff / ungedämmt,-,-,-,430.0,-,-,-,-,-,-,0.45,dezentral,-,-,-,-,Nein,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/wiesbaden-biebrich-am-parkfeld,8.2363412,50.0488229
Am Luhedich,Winsen (Luhe),Stadtwerke Winsen (Luhe),-,Neubaugebiet,Wohnen,2023,-,61,Erdwärmekollektoren,6.0,12.0,6.0,12.0,12 / 6,-,-,1.75,-,-,Kunststoff / ungedämmt,"Einbau unter dem Regenrückhaltebecken, mehrere tausend qm",-,-,-,optional,-,optional,-,-,-,-,dezentral,-,-,-,-,Ja,Kondensator der Wärmepumpe (gebäudeseitig),https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/winsen-luhe-am-luhedich,10.2059206,53.3636474
Vordere Viehweide,Wüstenrot,Gemeinde Wüstenrot,-,Neubaugebiet,Wohnen,2011,-,23,Erdwärmekollektoren,1.0,1.0,16.0,16.0,"W: 1, S: 16",-,-,-,-,0.5,Kunststoff / ungedämmt,-,-,-,140.0,-,-,-,-,-,-,-,dezentral,-,Dach-PV,-,-,Nein,-,"https://www.npro.energy/main/de/5gdhc-networks/5gdhc-districts/wuestenrot-vordere-viehweide , http://doppelacker.com/index.php/referenzen/wuestenrot",9.46056,49.0808
Kälberwaid,Mönchweiler,Gemeinde Mönchweiler,Sinnogy,Neubaugebiet,Wohnen,2022,74,-,Erdwärmesonden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,dezentral,-,Dach-PV,-,-,-,-,https://sinnogy.de/project/moenchweiler-kaelberwaid/,8.426761,48.0993425
Queichtalzentrum,Offenbach,Queichtal Energie Offenbach GmbH & Co. KG,Sinnogy,Neubaugebiet/Bestandsgebäude,Gewerbe,nach 2022,-,8,"Grundwasser, Erdwärmesonden, Schwimmbadabsorber, Vakuumröhrenkollektoren",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,dezentral,-,Dach-PV,-,-,-,-,https://sinnogy.de/project/offenbach-queichtalzentrum/,8.7610698,50.1055002
Hühnerbund 2,Kehl,Stadt Kehl,Sinnogy,Neubaugebiet/Bestandsgebäude,"Wohnen,  Gewerbe",-,-,-,Grundwasserbrunnen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://sinnogy.de/project/kehl-huehnerbund/,7.8109768,48.5728929
